,SA2_MAINCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,GreaterMelb
105,206011105,33,2058,823,401,2208,1,1725,2.2,1
106,206011106,32,2000,906,400,2205,1,1723,2.2,1
107,206011107,34,1982,742,321,1964,1,1416,2.2,1
108,206011108,35,2000,674,370,1990,1,1636,2.6,1
109,206011109,38,2000,723,378,2164,0.9,1840,2.8,1
110,206021110,36,2000,855,345,2447,1,1818,2.4,1
111,206021111,36,2167,881,404,2413,1,1862,2.4,1
112,206021112,36,2000,773,340,2059,1,1537,2.3,1
113,206031113,35,2178,824,326,2313,0.9,1757,2.4,1
114,206031114,37,2167,858,345,2350,0.9,1795,2.5,1
115,206031115,31,1990,643,300,1622,1,1265,2.2,1
116,206031116,37,2167,860,366,2424,0.9,1861,2.4,1
117,206041117,24,1869,338,380,1359,1.1,561,1.9,1
118,206041118,30,2167,970,501,2251,1.2,1868,2.1,1
119,206041119,38,2192,1341,451,3120,1,2285,1.9,1
120,206041120,32,1991,1062,375,2333,0.7,1792,2,1
121,206041121,33,2019,1012,392,2480,1,1956,2.2,1
122,206041122,26,1700,434,459,1427,1.2,977,2,1
123,206041123,28,2058,646,400,2048,1.1,1379,2.1,1
124,206041124,26,2000,437,400,2195,1,1610,2.2,1
125,206041125,37,2000,1220,420,2815,1,2018,1.9,1
126,206041126,30,2000,981,512,2296,1.1,1857,1.9,1
127,206041127,0,0,0,0,0,0,0,0,1
128,206051128,40,2500,1180,500,2946,1,2185,2.1,1
129,206051129,35,2167,1164,390,2635,1,1893,2,1
130,206051130,40,2500,1223,496,2852,0.9,2190,2.1,1
131,206051131,33,0,1625,0,0,0,1874,1,1
132,206051132,37,2167,1068,438,2663,1,1868,2,1
133,206051133,34,2000,1020,375,2333,1.1,1625,1.8,1
134,206051134,33,2000,981,360,2283,1,1636,2,1
135,206061135,37,2400,1064,381,2738,0.9,2007,2.1,1
136,206061136,33,2167,1083,400,2530,1,1841,1.9,1
137,206061137,31,2000,1104,410,2399,1,1769,1.8,1
138,206061138,45,2500,1217,431,3340,0.9,2313,2.2,1
139,206071139,32,2142,1068,426,2459,1.1,2001,2.1,1
140,206071140,33,2167,968,490,2594,0.9,1991,2.3,1
