"","SA2_MAINCODE_2016","Mode","Count"
"1",201011001,"Train_M",50
"2",201011002,"Train_M",76
"3",201011003,"Train_M",116
"4",201011004,"Train_M",46
"5",201011005,"Train_M",21
"6",201011006,"Train_M",4
"7",201011007,"Train_M",9
"8",201011008,"Train_M",17
"9",201021009,"Train_M",47
"10",201021010,"Train_M",8
"11",201021011,"Train_M",19
"12",201021012,"Train_M",14
"13",201031013,"Train_M",0
"14",201031014,"Train_M",0
"15",201031015,"Train_M",3
"16",201031016,"Train_M",3
"17",201031017,"Train_M",3
"18",202011018,"Train_M",24
"19",202011019,"Train_M",3
"20",202011020,"Train_M",19
"21",202011021,"Train_M",13
"22",202011022,"Train_M",28
"23",202011023,"Train_M",5
"24",202011024,"Train_M",10
"25",202011025,"Train_M",11
"26",202021026,"Train_M",6
"27",202021027,"Train_M",93
"28",202021028,"Train_M",24
"29",202021029,"Train_M",3
"30",202021030,"Train_M",111
"31",202021031,"Train_M",140
"32",202031032,"Train_M",3
"33",202031033,"Train_M",0
"34",203011034,"Train_M",18
"35",203011035,"Train_M",4
"36",203011036,"Train_M",5
"37",203021037,"Train_M",69
"38",203021038,"Train_M",59
"39",203021039,"Train_M",144
"40",203021040,"Train_M",164
"41",203021041,"Train_M",130
"42",203021042,"Train_M",158
"43",203021043,"Train_M",198
"44",203021044,"Train_M",24
"45",203021045,"Train_M",55
"46",203021046,"Train_M",109
"47",203021047,"Train_M",94
"48",203031048,"Train_M",28
"49",203031049,"Train_M",11
"50",203031050,"Train_M",97
"51",203031051,"Train_M",8
"52",203031052,"Train_M",17
"53",203031053,"Train_M",90
"54",204011054,"Train_M",0
"55",204011055,"Train_M",4
"56",204011056,"Train_M",84
"57",204011057,"Train_M",3
"58",204011058,"Train_M",3
"59",204011059,"Train_M",24
"60",204011060,"Train_M",17
"61",204011061,"Train_M",0
"62",204011062,"Train_M",0
"63",204021063,"Train_M",0
"64",204021064,"Train_M",0
"65",204021065,"Train_M",3
"66",204021066,"Train_M",3
"67",204021067,"Train_M",3
"68",204031068,"Train_M",4
"69",204031069,"Train_M",5
"70",204031070,"Train_M",0
"71",204031071,"Train_M",0
"72",204031072,"Train_M",0
"73",204031073,"Train_M",0
"74",204031074,"Train_M",9
"75",204031075,"Train_M",0
"76",205011076,"Train_M",68
"77",205011077,"Train_M",6
"78",205011078,"Train_M",8
"79",205011079,"Train_M",75
"80",205021080,"Train_M",0
"81",205021081,"Train_M",0
"82",205021082,"Train_M",3
"83",205021083,"Train_M",0
"84",205021084,"Train_M",4
"85",205021085,"Train_M",3
"86",205021086,"Train_M",0
"87",205031087,"Train_M",0
"88",205031088,"Train_M",0
"89",205031089,"Train_M",0
"90",205031090,"Train_M",3
"91",205031091,"Train_M",13
"92",205031092,"Train_M",0
"93",205031093,"Train_M",8
"94",205041094,"Train_M",11
"95",205041095,"Train_M",33
"96",205041096,"Train_M",25
"97",205041097,"Train_M",21
"98",205041098,"Train_M",0
"99",205051099,"Train_M",0
"100",205051100,"Train_M",0
"101",205051101,"Train_M",9
"102",205051102,"Train_M",0
"103",205051103,"Train_M",4
"104",205051104,"Train_M",0
"105",206011105,"Train_M",718
"106",206011106,"Train_M",42
"107",206011107,"Train_M",119
"108",206011108,"Train_M",736
"109",206011109,"Train_M",159
"110",206021110,"Train_M",479
"111",206021111,"Train_M",962
"112",206021112,"Train_M",451
"113",206031113,"Train_M",432
"114",206031114,"Train_M",768
"115",206031115,"Train_M",366
"116",206031116,"Train_M",486
"117",206041117,"Train_M",99
"118",206041118,"Train_M",121
"119",206041119,"Train_M",64
"120",206041120,"Train_M",3
"121",206041121,"Train_M",730
"122",206041122,"Train_M",672
"123",206041123,"Train_M",290
"124",206041124,"Train_M",79
"125",206041125,"Train_M",74
"126",206041126,"Train_M",269
"127",206041127,"Train_M",0
"128",206051128,"Train_M",41
"129",206051129,"Train_M",413
"130",206051130,"Train_M",26
"131",206051131,"Train_M",0
"132",206051132,"Train_M",27
"133",206051133,"Train_M",352
"134",206051134,"Train_M",789
"135",206061135,"Train_M",484
"136",206061136,"Train_M",973
"137",206061137,"Train_M",1466
"138",206061138,"Train_M",348
"139",206071139,"Train_M",226
"140",206071140,"Train_M",22
"141",206071141,"Train_M",115
"142",206071142,"Train_M",55
"143",206071143,"Train_M",119
"144",206071144,"Train_M",1114
"145",206071145,"Train_M",405
"146",207011146,"Train_M",321
"147",207011147,"Train_M",202
"148",207011148,"Train_M",101
"149",207011149,"Train_M",765
"150",207011150,"Train_M",577
"151",207011151,"Train_M",1028
"152",207011152,"Train_M",700
"153",207011153,"Train_M",167
"154",207011154,"Train_M",11
"155",207011155,"Train_M",722
"156",207021156,"Train_M",32
"157",207021157,"Train_M",51
"158",207021159,"Train_M",40
"159",207021160,"Train_M",20
"160",207021424,"Train_M",43
"161",207021425,"Train_M",54
"162",207031161,"Train_M",712
"163",207031162,"Train_M",157
"164",207031163,"Train_M",606
"165",207031164,"Train_M",302
"166",207031165,"Train_M",108
"167",207031166,"Train_M",124
"168",207031167,"Train_M",445
"169",208011168,"Train_M",201
"170",208011169,"Train_M",846
"171",208011170,"Train_M",362
"172",208011171,"Train_M",326
"173",208011172,"Train_M",586
"174",208011173,"Train_M",470
"175",208021174,"Train_M",789
"176",208021176,"Train_M",957
"177",208021177,"Train_M",603
"178",208021178,"Train_M",357
"179",208021179,"Train_M",495
"180",208021180,"Train_M",383
"181",208021181,"Train_M",477
"182",208021182,"Train_M",665
"183",208021426,"Train_M",271
"184",208021427,"Train_M",204
"185",208031183,"Train_M",117
"186",208031184,"Train_M",0
"187",208031185,"Train_M",162
"188",208031186,"Train_M",341
"189",208031187,"Train_M",68
"190",208031188,"Train_M",499
"191",208031189,"Train_M",342
"192",208031190,"Train_M",370
"193",208031191,"Train_M",151
"194",208031192,"Train_M",0
"195",208031193,"Train_M",565
"196",208041194,"Train_M",806
"197",208041195,"Train_M",812
"198",209011196,"Train_M",111
"199",209011197,"Train_M",463
"200",209011198,"Train_M",612
"201",209011199,"Train_M",178
"202",209011200,"Train_M",480
"203",209011201,"Train_M",260
"204",209011202,"Train_M",363
"205",209011203,"Train_M",505
"206",209011204,"Train_M",268
"207",209021205,"Train_M",140
"208",209021207,"Train_M",627
"209",209021208,"Train_M",578
"210",209021428,"Train_M",520
"211",209021429,"Train_M",228
"212",209031209,"Train_M",478
"213",209031210,"Train_M",68
"214",209031211,"Train_M",7
"215",209031212,"Train_M",30
"216",209031213,"Train_M",122
"217",209031214,"Train_M",51
"218",209031215,"Train_M",224
"219",209041216,"Train_M",69
"220",209041217,"Train_M",51
"221",209041219,"Train_M",307
"222",209041220,"Train_M",217
"223",209041221,"Train_M",118
"224",209041223,"Train_M",301
"225",209041224,"Train_M",135
"226",209041225,"Train_M",13
"227",209041430,"Train_M",108
"228",209041431,"Train_M",169
"229",209041432,"Train_M",171
"230",209041433,"Train_M",167
"231",209041434,"Train_M",151
"232",209041435,"Train_M",180
"233",209041436,"Train_M",172
"234",209041437,"Train_M",120
"235",210011226,"Train_M",64
"236",210011227,"Train_M",0
"237",210011228,"Train_M",58
"238",210011229,"Train_M",184
"239",210011230,"Train_M",78
"240",210011231,"Train_M",228
"241",210021232,"Train_M",128
"242",210021233,"Train_M",36
"243",210021234,"Train_M",66
"244",210021235,"Train_M",34
"245",210031236,"Train_M",231
"246",210031237,"Train_M",362
"247",210031239,"Train_M",891
"248",210031438,"Train_M",754
"249",210031439,"Train_M",26
"250",210031440,"Train_M",69
"251",210041240,"Train_M",152
"252",210041241,"Train_M",399
"253",210051242,"Train_M",180
"254",210051243,"Train_M",116
"255",210051245,"Train_M",129
"256",210051246,"Train_M",128
"257",210051247,"Train_M",110
"258",210051248,"Train_M",0
"259",210051249,"Train_M",210
"260",210051250,"Train_M",21
"261",210051441,"Train_M",90
"262",210051442,"Train_M",137
"263",210051443,"Train_M",238
"264",210051444,"Train_M",187
"265",210051445,"Train_M",29
"266",211011251,"Train_M",203
"267",211011254,"Train_M",108
"268",211011255,"Train_M",41
"269",211011256,"Train_M",86
"270",211011257,"Train_M",67
"271",211011258,"Train_M",43
"272",211011259,"Train_M",144
"273",211011260,"Train_M",152
"274",211011446,"Train_M",314
"275",211011447,"Train_M",182
"276",211011448,"Train_M",153
"277",211011449,"Train_M",29
"278",211021261,"Train_M",120
"279",211021262,"Train_M",45
"280",211031263,"Train_M",101
"281",211031265,"Train_M",223
"282",211031266,"Train_M",416
"283",211031267,"Train_M",571
"284",211031268,"Train_M",149
"285",211031450,"Train_M",240
"286",211031451,"Train_M",215
"287",211031452,"Train_M",44
"288",211041269,"Train_M",171
"289",211041270,"Train_M",675
"290",211041271,"Train_M",409
"291",211041272,"Train_M",191
"292",211041273,"Train_M",126
"293",211051274,"Train_M",144
"294",211051275,"Train_M",97
"295",211051276,"Train_M",27
"296",211051277,"Train_M",65
"297",211051278,"Train_M",173
"298",211051279,"Train_M",16
"299",211051280,"Train_M",47
"300",211051281,"Train_M",330
"301",211051282,"Train_M",83
"302",211051283,"Train_M",58
"303",211051284,"Train_M",195
"304",211051285,"Train_M",22
"305",211051286,"Train_M",12
"306",212011287,"Train_M",177
"307",212011288,"Train_M",45
"308",212011289,"Train_M",57
"309",212011290,"Train_M",14
"310",212011291,"Train_M",174
"311",212011292,"Train_M",321
"312",212021293,"Train_M",252
"313",212021294,"Train_M",371
"314",212021295,"Train_M",62
"315",212021297,"Train_M",104
"316",212021299,"Train_M",40
"317",212021453,"Train_M",77
"318",212021454,"Train_M",109
"319",212021455,"Train_M",130
"320",212021456,"Train_M",173
"321",212031300,"Train_M",158
"322",212031301,"Train_M",296
"323",212031302,"Train_M",236
"324",212031303,"Train_M",37
"325",212031304,"Train_M",149
"326",212031305,"Train_M",210
"327",212031306,"Train_M",311
"328",212031308,"Train_M",13
"329",212031457,"Train_M",105
"330",212031458,"Train_M",154
"331",212041309,"Train_M",206
"332",212041310,"Train_M",386
"333",212041311,"Train_M",351
"334",212041312,"Train_M",161
"335",212041313,"Train_M",82
"336",212041314,"Train_M",289
"337",212041316,"Train_M",60
"338",212041317,"Train_M",359
"339",212041318,"Train_M",106
"340",212041459,"Train_M",292
"341",212041460,"Train_M",343
"342",212051319,"Train_M",485
"343",212051320,"Train_M",505
"344",212051321,"Train_M",442
"345",212051322,"Train_M",479
"346",212051323,"Train_M",382
"347",212051324,"Train_M",493
"348",212051325,"Train_M",190
"349",212051326,"Train_M",651
"350",212051327,"Train_M",192
"351",213011328,"Train_M",241
"352",213011329,"Train_M",134
"353",213011330,"Train_M",314
"354",213011331,"Train_M",89
"355",213011332,"Train_M",166
"356",213011333,"Train_M",109
"357",213011334,"Train_M",356
"358",213011335,"Train_M",365
"359",213011336,"Train_M",291
"360",213011337,"Train_M",104
"361",213011338,"Train_M",205
"362",213011339,"Train_M",305
"363",213011340,"Train_M",261
"364",213021341,"Train_M",376
"365",213021342,"Train_M",334
"366",213021343,"Train_M",98
"367",213021344,"Train_M",693
"368",213021345,"Train_M",74
"369",213021346,"Train_M",505
"370",213031347,"Train_M",212
"371",213031348,"Train_M",913
"372",213031349,"Train_M",118
"373",213031350,"Train_M",506
"374",213031351,"Train_M",447
"375",213031352,"Train_M",721
"376",213041353,"Train_M",188
"377",213041355,"Train_M",273
"378",213041356,"Train_M",109
"379",213041357,"Train_M",286
"380",213041358,"Train_M",155
"381",213041359,"Train_M",3
"382",213041360,"Train_M",240
"383",213041461,"Train_M",41
"384",213041462,"Train_M",103
"385",213041463,"Train_M",202
"386",213051361,"Train_M",232
"387",213051362,"Train_M",322
"388",213051363,"Train_M",388
"389",213051365,"Train_M",740
"390",213051366,"Train_M",580
"391",213051368,"Train_M",156
"392",213051369,"Train_M",538
"393",213051464,"Train_M",186
"394",213051465,"Train_M",453
"395",213051466,"Train_M",327
"396",213051467,"Train_M",306
"397",213051468,"Train_M",155
"398",214011370,"Train_M",84
"399",214011371,"Train_M",182
"400",214011372,"Train_M",96
"401",214011373,"Train_M",120
"402",214011374,"Train_M",83
"403",214011375,"Train_M",204
"404",214011376,"Train_M",79
"405",214021377,"Train_M",9
"406",214021378,"Train_M",14
"407",214021379,"Train_M",28
"408",214021380,"Train_M",47
"409",214021381,"Train_M",101
"410",214021382,"Train_M",44
"411",214021383,"Train_M",12
