SA2_MAINCODE_2016,Train_M,Train_F,Train_O,Bus_M,Bus_F,Bus_O,Ferry_M,Ferry_F,Ferry_O,Tram_M,Tram_F,Tram_O,Taxi_M,Taxi_F,Taxi_O,Car_Driver_M,Car_Driver_F,Car_Driver_O,Car_Pass_M,Car_Pass_F,Car_Pass_O,Truck_M,Truck_F,Truck_O,Mbike_M,Mbike_F,Mbike_O,Bike_M,Bike_F,Bike_O,Other_M,Other_F,Other_O,Walk_M,Walk_F,Walk_O
201011001,50,18,3,15,16,1,0,0,0,0,0,0,9,5,-6,2259,1964,-1,131,183,4,16,0,2,8,0,0,32,9,-3,14,3,2,30,29,6
201011002,76,47,4,20,22,1,0,0,0,0,0,0,11,4,1,1722,1630,-6,93,148,1,14,0,-5,10,3,0,56,17,-2,15,10,-2,245,265,7
201011003,116,59,3,49,55,0,0,0,5,0,3,0,13,8,1,3899,3509,1,219,275,0,55,0,2,16,0,4,52,11,4,27,15,0,132,116,-6
201011004,46,33,6,38,61,2,8,0,2,0,0,0,21,22,-1,3724,3405,2,254,296,-2,49,0,1,25,0,-4,57,10,-2,27,10,-3,110,109,4
201011005,21,9,-1,9,19,1,0,0,0,0,3,0,4,6,-4,1238,1041,-1,55,61,-3,21,0,0,6,0,-3,12,3,-4,12,0,-2,47,32,7
201011006,4,6,3,4,10,-4,0,0,0,0,0,0,0,3,1,1275,1145,3,96,89,-4,16,0,0,11,0,0,3,0,1,8,4,3,27,11,5
201011007,9,0,-1,3,4,1,0,0,0,0,0,0,0,3,0,813,659,-3,39,48,-1,34,0,0,5,0,-1,0,0,0,4,0,0,8,8,-2
201011008,17,16,-3,24,30,5,0,0,0,0,0,0,9,5,-6,2165,1756,3,182,161,0,29,0,1,8,0,4,29,5,6,8,9,0,65,59,-2
201021009,47,43,0,3,4,-1,0,0,0,0,0,0,0,0,0,933,742,1,66,59,-2,40,0,5,3,0,0,4,0,6,6,8,-2,33,28,4
201021010,8,11,1,4,4,5,0,0,0,3,0,0,0,0,0,1124,927,-2,42,49,8,34,0,3,9,3,3,6,0,-2,6,6,1,67,45,-5
201021011,19,27,-1,8,0,3,3,0,0,3,0,1,0,3,0,1204,1079,3,59,66,3,39,0,0,3,0,0,4,4,0,19,12,-5,91,91,-2
201021012,14,13,4,6,3,-3,0,0,0,0,0,0,3,0,0,941,794,8,48,53,-4,48,0,4,13,0,0,3,0,0,9,4,6,41,19,4
201031013,0,0,0,3,3,-3,0,0,0,0,0,0,0,0,0,375,325,7,20,33,-4,28,3,-3,3,0,0,4,0,0,12,0,0,45,21,3
201031014,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,580,457,0,17,39,-1,26,3,-3,0,0,0,0,0,3,7,4,1,33,20,-4
201031015,3,5,-1,0,3,0,0,0,0,0,0,0,0,0,0,736,608,3,39,28,1,24,0,3,7,0,0,0,0,3,11,0,4,12,20,3
201031016,3,0,0,3,0,0,0,0,0,0,0,0,3,0,-3,941,834,-7,57,85,2,25,0,0,3,4,-1,16,11,3,4,4,4,90,64,-1
201031017,3,0,0,4,0,-1,0,0,0,0,0,0,0,0,4,691,554,-1,38,42,-3,16,0,-2,0,0,0,3,0,0,10,3,-3,46,22,6
202011018,24,15,0,33,38,-2,0,0,3,0,3,0,6,14,0,2031,1766,2,143,193,2,25,3,1,18,6,1,79,16,-4,17,7,3,286,334,0
202011019,3,9,0,32,27,2,0,3,0,0,3,0,6,7,-5,1784,1579,6,139,132,-1,51,3,-4,23,6,-3,17,5,1,14,3,2,37,27,-5
202011020,19,8,0,22,20,3,0,0,0,0,0,0,0,8,1,2161,2020,4,147,189,0,28,0,-2,27,4,-1,42,14,-6,13,5,-2,106,93,-2
202011021,13,10,2,18,24,5,0,0,0,0,0,3,7,5,5,1455,1450,6,94,127,-1,18,0,0,21,4,-2,67,25,-4,15,8,-5,84,76,6
202011022,28,16,-3,35,39,5,4,0,-1,0,0,0,10,7,-4,3178,2926,0,199,242,0,51,0,-1,23,5,1,48,11,-2,25,13,3,57,72,-3
202011023,5,7,-1,11,9,-3,0,0,0,0,0,0,0,0,3,1062,841,5,52,63,-9,26,0,3,4,0,0,3,0,0,3,0,4,14,11,2
202011024,10,6,-3,21,9,1,0,3,0,4,0,0,0,0,0,1658,1398,0,67,121,1,20,0,0,14,0,0,18,0,-1,9,3,4,24,16,-3
202011025,11,12,-4,27,24,-1,0,0,0,0,0,0,6,3,1,2221,1905,5,131,147,-1,37,3,-1,15,3,-1,21,7,1,11,6,2,46,37,-1
