SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
201011001,50,18,71,15,16,32,0,0,0,0,0,0,9,5,8,2259,1964,4222,131,183,318,16,0,18,8,0,8,32,9,38,14,3,19,30,29,65,2562,2233,4797
201011002,76,47,127,20,22,43,0,0,0,0,0,0,11,4,16,1722,1630,3346,93,148,242,14,0,9,10,3,13,56,17,71,15,10,23,245,265,517,2260,2147,4406
201011003,116,59,178,49,55,104,0,0,5,0,3,3,13,8,22,3899,3509,7409,219,275,494,55,0,57,16,0,20,52,11,67,27,15,42,132,116,242,4591,4055,8649
201011004,46,33,85,38,61,101,8,0,10,0,0,0,21,22,42,3724,3405,7131,254,296,548,49,0,50,25,0,21,57,10,65,27,10,34,110,109,223,4354,3951,8300
201011005,21,9,29,9,19,29,0,0,0,0,3,3,4,6,6,1238,1041,2278,55,61,113,21,0,21,6,0,3,12,3,11,12,0,10,47,32,86,1409,1166,2579
201011006,4,6,13,4,10,10,0,0,0,0,0,0,0,3,4,1275,1145,2423,96,89,181,16,0,16,11,0,11,3,0,4,8,4,15,27,11,43,1448,1274,2725
201011007,9,0,8,3,4,8,0,0,0,0,0,0,0,3,3,813,659,1469,39,48,86,34,0,34,5,0,4,0,0,0,4,0,4,8,8,14,908,719,1627
201011008,17,16,30,24,30,59,0,0,0,0,0,0,9,5,8,2165,1756,3924,182,161,343,29,0,30,8,0,12,29,5,40,8,9,17,65,59,122,2547,2041,4586
201021009,47,43,90,3,4,6,0,0,0,0,0,0,0,0,0,933,742,1676,66,59,123,40,0,45,3,0,3,4,0,10,6,8,12,33,28,65,1142,888,2027
201021010,8,11,20,4,4,13,0,0,0,3,0,3,0,0,0,1124,927,2049,42,49,99,34,0,37,9,3,15,6,0,4,6,6,13,67,45,107,1307,1053,2361
201021011,19,27,45,8,0,11,3,0,3,3,0,4,0,3,3,1204,1079,2286,59,66,128,39,0,39,3,0,3,4,4,8,19,12,26,91,91,180,1452,1290,2745
201021012,14,13,31,6,3,6,0,0,0,0,0,0,3,0,3,941,794,1743,48,53,97,48,0,52,13,0,13,3,0,3,9,4,19,41,19,64,1133,892,2023
201031013,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,375,325,707,20,33,49,28,3,28,3,0,3,4,0,4,12,0,12,45,21,69,485,388,875
201031014,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,580,457,1037,17,39,55,26,3,26,0,0,0,0,0,3,7,4,12,33,20,49,667,531,1199
201031015,3,5,7,0,3,3,0,0,0,0,0,0,0,0,0,736,608,1347,39,28,68,24,0,27,7,0,7,0,0,3,11,0,15,12,20,35,835,667,1503
201031016,3,0,3,3,0,3,0,0,0,0,0,0,3,0,0,941,834,1768,57,85,144,25,0,25,3,4,6,16,11,30,4,4,12,90,64,153,1147,997,2140
201031017,3,0,3,4,0,3,0,0,0,0,0,0,0,0,4,691,554,1244,38,42,77,16,0,14,0,0,0,3,0,3,10,3,10,46,22,74,806,621,1428
202011018,24,15,39,33,38,69,0,0,3,0,3,3,6,14,20,2031,1766,3799,143,193,338,25,3,29,18,6,25,79,16,91,17,7,27,286,334,620,2661,2400,5063
202011019,3,9,12,32,27,61,0,3,3,0,3,3,6,7,8,1784,1579,3369,139,132,270,51,3,50,23,6,26,17,5,23,14,3,19,37,27,59,2099,1795,3895
202011020,19,8,27,22,20,45,0,0,0,0,0,0,0,8,9,2161,2020,4185,147,189,336,28,0,26,27,4,30,42,14,50,13,5,16,106,93,197,2566,2360,4928
