SA2_MAIN16,SA2_NAME16,Ec_To_Dw,Ec_Typlg,Ec_PoCap,Ec_PctWlkg,Ec_AvTmeWk,Ec_AvDstWk,Ec_Clss,BU_toDwel,BU_Typo,BU_PoCap,BU_PcWalk,BUAvTmeWlk,BUAvDstWlk,BU_Cls,St_ToDwl,St_Typlg,St_PoCap,St_PctWlk,St_AvTmeWk,St_AvDstWk,Op_ToDwe,Op_Typlg,Op_PoCapa,Op_PctgWlk,Op_AvTmeWk,Op_AvDstWk,St_Cls,Op_Clss,ExCon,BaU,Std20M,Opt20Min
206011105,Brunswick,3607.749578,2,7937.049072,17.30307342,11.53832143,0.757838886,Typical suburban area,4810.332771,2,10582.7321,17.64121173,11.09482511,0.716884551,Typical suburban area,3908.395376,1,8598.469828,17.38699547,11.52184494,0.847142407,6614.20756,1,14551.25663,18.16084931,12.46138663,0.946698635,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206011106,Brunswick East,13469.24684,4,29632.34305,26.44220477,14.34671195,1.104062022,Urban core districts,12588.08116,4,27693.77855,25.56163512,13.79527005,1.04439746,Urban core districts,16364.50551,4,36001.91212,29.55475366,16.13685495,1.304296905,15735.10145,4,34617.22319,28.84834424,16.78189763,1.378809059,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206011107,Brunswick West,2458.38417,1,5408.445173,12.77381322,8.791651816,0.616421725,Urban mixed use and residential area,2282.7853,1,5022.127661,12.71215768,8.453728731,0.583109708,Urban mixed use and residential area,2282.7853,1,5022.127661,12.71215768,9.888649794,0.728217194,3863.175124,1,8498.985272,13.27794559,10.6950136,0.813797324,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206011108,Coburg,4807.666094,2,12499.93184,14.64415818,9.817223211,0.666815552,Typical suburban area,6410.221458,2,16666.57579,14.93033571,9.439880429,0.630780205,Typical suburban area,5208.304935,1,13541.59283,14.71518416,9.803204418,0.745392909,8814.054505,1,22916.54171,15.37012203,10.60260063,0.83299153,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206011109,Pascoe Vale South,1635.237067,3,4578.663786,13.65081756,10.16426026,0.657245853,Spacious residential area,1308.189653,3,3662.931029,13.51935841,9.77357848,0.621727662,Spacious residential area,2779.903013,2,7783.728437,14.12107291,10.82901029,0.725510942,981.14224,3,2747.198272,13.38916522,10.57055887,0.694793135,Typical suburban area,Spacious residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206021110,Alphington - Fairfield,2298.364833,1,5516.0756,17.29813075,10.33207207,0.693985706,Urban mixed use and residential area,2626.702667,2,6304.0864,17.46633383,11.19057437,0.693787255,Typical suburban area,2134.195917,1,5122.0702,17.21463763,11.62127942,0.819848334,3611.716167,1,8668.1188,17.98082022,12.56892943,0.916196961,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206021111,Northcote,36938.86379,4,88653.2731,40.87169611,13.40117946,1.077206894,Urban core districts,34522.30261,4,82853.52627,39.51060025,12.88608081,1.018993608,Urban core districts,44878.99339,4,107709.5841,45.68276059,15.07334153,1.272571278,43152.87826,4,103566.9078,44.59086408,15.67587211,1.345271003,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206021112,Thornbury,2806.706883,3,6455.425832,14.94355364,10.35836862,0.719361834,Spacious residential area,2245.365507,3,5164.340665,14.79964527,9.960225937,0.680486836,Spacious residential area,2245.365507,3,5164.340665,14.79964527,10.77242637,0.760457692,6174.755143,1,14201.93683,15.83687073,11.02005457,0.887652624,Spacious residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206031113,Ascot Vale,3052.194121,1,7325.26589,15.11420975,9.490181564,0.673747335,Urban mixed use and residential area,3488.221853,2,8371.732446,15.26117687,9.125409221,0.637337388,Typical suburban area,2834.180255,1,6802.032613,15.04125778,10.67434015,0.795939491,4796.305047,1,11511.13211,15.71070841,11.54477259,0.889478349,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206031114,Essendon - Aberfeldie,6713.550721,1,16783.8768,18.42189682,8.591112874,0.644759686,Urban mixed use and residential area,7672.629395,2,19181.57349,18.60102713,9.304957123,0.644575312,Typical suburban area,6234.011383,1,15585.02846,18.33297959,9.663088157,0.761694585,10549.86542,1,26374.66355,19.14893693,10.45105868,0.85120898,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
